File_name,Title,Book,Date,Date_writing,Period,Genre,Subgenre,Microgenre,Place_names,Occurrences,Type,Place_names_normalised_english,Place_names_normalised_spanish,GeoNames ID,Latitude,Longitude,Place_time
ABANILLO_EL.txt,"Abanillo, El",Manuscrito,Sin fecha,1610-1624,Madurez (c. 1600-1630),Comedia,Urbano,,España,39,Entidad política,Spain,España,2510769,40.2,-3.5,Modernidad
ABANILLO_EL.txt,"Abanillo, El",Manuscrito,Sin fecha,1610-1624,Madurez (c. 1600-1630),Comedia,Urbano,,Italia,12,Entidad política,Italy,Italia,3175395,42.5,12.5,Modernidad
ABANILLO_EL.txt,"Abanillo, El",Manuscrito,Sin fecha,1610-1624,Madurez (c. 1600-1630),Comedia,Urbano,,Aragón,6,Entidad política,Crown of Aragon,Aragón,3336899,41.65,-0.9,Modernidad
ABANILLO_EL.txt,"Abanillo, El",Manuscrito,Sin fecha,1610-1624,Madurez (c. 1600-1630),Comedia,Urbano,,Barcelona,17,Entidad política,Barcelona,Barcelona,6356055,41.3825,2.1769444444444,Modernidad
ABANILLO_EL.txt,"Abanillo, El",Manuscrito,Sin fecha,1610-1624,Madurez (c. 1600-1630),Comedia,Urbano,,Zaragoza,3,Entidad política,Zaragoza,Zaragoza,6362983,41.65,-0.88333333333333,Modernidad
ABANILLO_EL.txt,"Abanillo, El",Manuscrito,Sin fecha,1610-1624,Madurez (c. 1600-1630),Comedia,Urbano,,Europa,2,Accidente geográfico,Europe,Europa,6255148,48.690959,9.14062,Modernidad
ABANILLO_EL.txt,"Abanillo, El",Manuscrito,Sin fecha,1610-1624,Madurez (c. 1600-1630),Comedia,Urbano,,montes Pirineos,1,Accidente geográfico,Pyrenees,Pirineos,3112616,42.7,0.6,Modernidad
ABANILLO_EL.txt,"Abanillo, El",Manuscrito,Sin fecha,1610-1624,Madurez (c. 1600-1630),Comedia,Urbano,,Francia,1,Entidad política,France,Francia,3017382,47,2,Modernidad
ABANILLO_EL.txt,"Abanillo, El",Manuscrito,Sin fecha,1610-1624,Madurez (c. 1600-1630),Comedia,Urbano,,montes Marianos,1,Accidente geográfico,Sierra Morena,Montes Marianos,No identificado,38.5,-5.6,Modernidad
ABANILLO_EL.txt,"Abanillo, El",Manuscrito,Sin fecha,1610-1624,Madurez (c. 1600-1630),Comedia,Urbano,,Sierra Morena,1,Accidente geográfico,Sierra Morena,Sierra Morena,2513553,38.3,-4.4,Modernidad
